username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
,,,,,,,,,
Narendra Modi,18839785,21-10-2018 10:54,"Even at a young age, Salima Tete showed excellent leadership skills to lead the Indian Junior Women's Hockey team t... https://t.co/jhMrs8DDoZ",761,None,44354438,2064,0.55,0.7
,,,,,,,,,
Narendra Modi,18839785,21-10-2018 10:47,Ishika Chaudhary is a defender in the Indian Junior Women's Hockey team who is known for her strong defense skills.... https://t.co/snapRkVybf,750,None,44354438,2064,0.433333333,0.733333333
,,,,,,,,,
Narendra Modi,18839785,21-10-2018 10:49,Meet Mumtaz Khan whose thrilling game as a forward in the Indian Junior Women's Hockey team played an important rol... https://t.co/6wD0T9LFEv,903,None,44354438,2064,0.083333333,0.8
,,,,,,,,,
Narendra Modi,18839785,21-10-2018 10:48,"Yuva Shakti and Nari Shakti make India proud. 

Young Lalremsiami, a forward, scored 9 enthralling goals in the You... https://t.co/48Szaydv61",837,None,44354438,2064,0.45,0.7
,,,,,,,,,
Narendra Modi,18839785,21-10-2018 10:43,"A midfielder's role is extremely important in Hockey, to convert opportunities into successes. 

Chetna played this... https://t.co/Sf9joHGf7k",748,None,44354438,2064,0.4,1
,,,,,,,,,
Narendra Modi,18839785,21-10-2018 10:45,Khushboo is a goalkeeper in the Indian Junior Women's Hockey team. It is one of the most important roles in game an... https://t.co/ha5peLeGV0,747,None,44354438,2064,0.166666667,0.633333333
,,,,,,,,,
Narendra Modi,18839785,21-10-2018 10:42,"Baljeet Kaur is a forward in the Indian Junior Women's Hockey team. 

Her game immensely helped the team, which bro... https://t.co/8yLgki97a3",819,None,44354438,2064,-0.2,0.7
,,,,,,,,,
Narendra Modi,18839785,21-10-2018 10:51,Reet is a midfielder who not only controlled the game and helped others score goals but also scored 5 goals herself... https://t.co/610MKSuKAr,743,None,44354438,2064,-0.2,0.7
,,,,,,,,,
Narendra Modi,18839785,21-10-2018 10:28,Sanjay's six goals through the 2018 Youth Olympics added much needed strength to the hockey team. Happy to have met... https://t.co/RsClB2cw2R,701,None,44354438,2064,0.5,0.6
,,,,,,,,,
Kiren Rijiju,3241214268,21-10-2018 16:01,These youths have made India proud by winning medals in Youth Olympic Games 2018. Very encouraging that PM... https://t.co/DlL6LJqj2q,288,None,602788,317,0.5,0.683333333
,,,,,,,,,
Dan Bongino,232901331,22-10-2018 01:33,"If you missed my debate panel on the Spygate scandal at #Politicon then you missed some heavy fireworks. The ""moder... https://t.co/BKDdXpyzOO",428,Politicon,719398,718,-0.2,0.5
,,,,,,,,,
Caleb SkHull ðŸ’€ðŸŽƒðŸ‘»,239005322,22-10-2018 04:05,Remember when the biggest media companies in the US decided to just forget about the NK death camps and worship the... https://t.co/SLVmd0rRgp,112,None,41957,999,0,0
,,,,,,,,,
