created,text,retwc,hashtag,followers,friends
,,,,,
18-10-2018 14:43,"b""RT @BBCRedButton: Egypt have come from 3-0 to go level against Argentina in the men's futsal bronze medal match. Press \xf0\x9f\x94\xb4 now to watch live.\xe2\x80\xa6""",1,None,2675413,106
,,,,,
18-10-2018 14:43,b'Lauren Salisbury faces Japan for a place in the final at the Youth Olympics will it be \xf0\x9f\xa5\x87or\xf0\x9f\xa5\x89 either way a fantastic\xe2\x80\xa6 https://t.co/MpMD6dMXqf',0,None,146,27
,,,,,
18-10-2018 14:43,b'RT @CeeNoir: Why must ppl do coughing olympics in lectures pls ?',338,None,3,28
,,,,,
18-10-2018 14:43,"b""Egypt have come from 3-0 to go level against Argentina in the men's futsal bronze medal match. Press \xf0\x9f\x94\xb4 now to watch\xe2\x80\xa6 https://t.co/DyySEVAxTW""",1,None,19854,62
,,,,,
18-10-2018 14:43,"b'Turn of events as Athletics legend Kipchoge Keino turns into State witness while Ambassador Hassan Wario, 2 others\xe2\x80\xa6 https://t.co/wA8aBhFhHj'",0,None,2872,9
,,,,,
18-10-2018 14:43,"b'RT @HispanicName: @DingDongVG Miyamoto also announces first ever cross over Mario, Sonic and Sonichu at the Special Olympics'",3,None,16,481
,,,,,
18-10-2018 14:43,b'RT @LAfromAB: I would be 1000x more interested in #yyc hosting Invictus than the Olympics https://t.co/LyxOrXdJhb',2,yyc,412,420
,,,,,
18-10-2018 14:43,b'RT @PennTrackXC: Mifflin County senior Skylar Ciccolini broke the national high school record in the 500-gram javelin with a throw of 180-0\xe2\x80\xa6',4,None,166,203
,,,,,
18-10-2018 14:42,b'RT @CeeNoir: Why must ppl do coughing olympics in lectures pls ?',338,None,905,624
,,,,,
18-10-2018 14:42,"b""RT @Super70sSports: When you're talking about dominant track stars, I'm going with Usain Bolt in the Olympics and Jimmie Walker on Battle o\xe2\x80\xa6""",102,None,68,381
,,,,,
18-10-2018 14:42,b'Beautiful morning light over the Olympics from @convoyteam office. #moonshotweek day 4 here we go! https://t.co/LXjQ0Lm4wm',0,moonshotweek,502,1274
,,,,,
18-10-2018 14:42,"b'RT @suemc_phee: Athletics legend Kipchoge Keino turns into State witness; Ambassador Hassan Wario, 2 others set for prosecution over 2016 R\xe2\x80\xa6'",13,None,1539,1997
,,,,,
18-10-2018 14:42,b'RT @iykimo: Governing Board of NHIS has suspended Executive Secretary NHIS Usman Yusuf for financial infractions.\n\nThe last time Health Min\xe2\x80\xa6',17,None,1334,580
,,,,,
18-10-2018 14:42,"b'During our Park Babies classes (weather permitting), will head into the park where activities such as pond dipping,\xe2\x80\xa6 https://t.co/BKg464JdSx'",0,None,30,89
,,,,,
18-10-2018 14:42,b'Champion of the outrage Olympics \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/DnpnYZkUFY',0,None,750,295
,,,,,
