created,text,retwc,hashtag,followers,friends
,,,,,
18-10-2018 16:30,"b""RT @LisaSmith4680: Do what Chelsea says IF you like being pissed on, or if you're a liberal,lying hypocrite who pretends to be with #metoo\xe2\x80\xa6""",79,metoo,396,227
,,,,,
18-10-2018 16:30,"b'RT @RealEagleBites: Democrats to women: DROP DEAD, as their media, CNN, NBC desperately cover up for Keith Ellison. \n\n#KarenMonahan \n#MeToo\xe2\x80\xa6'",47,KarenMonahan,494,1042
,,,,,
18-10-2018 16:30,b'RT @DrGPradhan: Hence #MeToo achieve its goal. No tv debates on this https://t.co/8SAZ1G3tD6',448,MeToo,98,473
,,,,,
18-10-2018 16:30,b'RT @squintneon: Vinod Dua gives Vinod Dua 1 week to investigate Vinod Dua crime. Vinod Dua thinks Vinod Dua deserves fair trail against all\xe2\x80\xa6',2415,None,41,218
,,,,,
18-10-2018 16:30,"b'This woman falsely accused a 9-year-old black boy of groping her... and it highlights a much bigger problem, Female\xe2\x80\xa6 https://t.co/U2ryWx01wF'",0,None,114,13
,,,,,
18-10-2018 16:30,b'Important for everyone to hear/consider: https://t.co/3tAUluqAp7',0,None,925,902
,,,,,
18-10-2018 16:30,"b'RT @Rajput_Ramesh: Heart breaking picture, the poor nun is weeping because judiciary, media, govt and all of us let her down. A rapist Bish\xe2\x80\xa6'",628,None,199,336
,,,,,
18-10-2018 16:30,"b'RT @jodikantor: Eight men, as old as 82, write with regret about how they sexually violated, coerced and took advantage of women years ago.\xe2\x80\xa6'",30,None,2351,1992
,,,,,
18-10-2018 16:30,b'RT @timesofindia: Why #AlishaChinai is the original #MeToo girl. Read about how the pop singer had filed a sexual harassment suit against #\xe2\x80\xa6',178,AlishaChinai,84,699
,,,,,
18-10-2018 16:30,"b'RT @Rajput_Ramesh: Heart breaking picture, the poor nun is weeping because judiciary, media, govt and all of us let her down. A rapist Bish\xe2\x80\xa6'",628,None,26,604
,,,,,
18-10-2018 16:30,"b'RT @jodikantor: Eight men, as old as 82, write with regret about how they sexually violated, coerced and took advantage of women years ago.\xe2\x80\xa6'",30,None,317,614
,,,,,
18-10-2018 16:30,"b""RT @LisaSmith4680: Do what Chelsea says IF you like being pissed on, or if you're a liberal,lying hypocrite who pretends to be with #metoo\xe2\x80\xa6""",79,metoo,1583,2014
,,,,,
18-10-2018 16:30,"b'RT @samjawed65: By describing the allegations as \xe2\x80\x9ckeechad\xe2\x80\x9d, Vinod Dua is discrediting the #MeToo movement. Oh and how convenient to declare\xe2\x80\xa6'",521,MeToo,339,222
,,,,,
18-10-2018 16:30,"b'RT @Rajput_Ramesh: Heart breaking picture, the poor nun is weeping because judiciary, media, govt and all of us let her down. A rapist Bish\xe2\x80\xa6'",628,None,646,505
,,,,,
18-10-2018 16:30,"b'RT @GarushaK: Jatin Das: Renowned painter, Padma Bhushan recipient and someone who tried to take advantage of me when I was 20. 5 years too\xe2\x80\xa6'",1746,None,258,693
,,,,,
18-10-2018 16:29,b'RT @skhandelwalchd1: #MeToo #MenToo #MeToo4Publicity #saveindianfamily \n\nTime to demand for gender neutral laws. https://t.co/jz04JqT5Nf',8,MeToo,90,76
,,,,,
18-10-2018 16:29,b'RT @NewsroomPostCom: Our party stands with all the women who spoke out against sexual harassment and abuse: Shiv Sena chief Uddhav Thackera\xe2\x80\xa6',2,None,12464,2017
,,,,,
18-10-2018 16:29,b'RT @firstpost: The National Commission for Women (#NCW) has asked women who have faced harassment at the workplace to mail their complaints\xe2\x80\xa6',33,NCW,7979,208
,,,,,
18-10-2018 16:29,b'@VORdotcom #MeToo is selective.',0,MeToo,263,101
,,,,,
18-10-2018 16:29,"b'@Rob5161 @B52Malmet @ChelseaClinton As women we will be heard, #TimesUp  #MeToo #WeWillNotBeSilenced, period. If in\xe2\x80\xa6 https://t.co/avMpSIhapu'",0,TimesUp,2696,1352
,,,,,
18-10-2018 16:29,"b'RT @Rajput_Ramesh: Heart breaking picture, the poor nun is weeping because judiciary, media, govt and all of us let her down. A rapist Bish\xe2\x80\xa6'",626,None,236,359
,,,,,
18-10-2018 16:29,"b'RT @maryashakil: A team of 97 lawyers vs @priyaramani .....\xe2\x80\x99You may write me down in history\nWith your bitter, twisted lies,\nYou may trod m\xe2\x80\xa6'",194,None,38,220
,,,,,
18-10-2018 16:29,"b'RT @Anant_BJYM: Rape accused Bishop Franco received a grand welcome. But their is killing silence on it, lets mourn the death of Secularism\xe2\x80\xa6'",4,None,90,226
,,,,,
18-10-2018 16:29,"b'A year after the #MeToo hashtag went viral, we honored @Alyssa_Milano at our #RadicalGenerosity gala for her advoca\xe2\x80\xa6 https://t.co/wklkEneklL'",0,MeToo,7509,2691
,,,,,
18-10-2018 16:29,"b'. @tavleen_singh your vile, vomit-inducing bakwas is getting unbearable. If u can\xe2\x80\x99t find it within yourself 2 hv ev\xe2\x80\xa6 https://t.co/zuJY7v2Qhr'",0,None,2016,1799
,,,,,
18-10-2018 16:29,"b'RT @Sharmajikaputtr: Girl: hey , where are you from?\n\nMe: Delhi , you ?\n\nGirl: oh , me too.\n\nMe: arre chutiya aurat tune hi toh pucha, isme\xe2\x80\xa6'",8,None,2864,92
,,,,,
18-10-2018 16:29,"b'RT @DrGPradhan: ""Rajasthan appears to be the second highest when it comes to sexual violence against women""\n\nNow you know why #MeToo starte\xe2\x80\xa6'",230,MeToo,64,119
,,,,,
18-10-2018 16:29,b'RT @TrulyMonica: MJ Akbar has resigned. What about Vinod Dua? Sidharth Bhatia? Or the internal commitee at @thewire_in is more fair than th\xe2\x80\xa6',318,None,258,1352
,,,,,
18-10-2018 16:29,"b'RT @Rajput_Ramesh: Heart breaking picture, the poor nun is weeping because judiciary, media, govt and all of us let her down. A rapist Bish\xe2\x80\xa6'",628,None,55,274
,,,,,
18-10-2018 16:29,"b'RT @lauren_kelley: Well, this is something. My colleague @APQW asked our male readers: Have you ever treated a woman in a way you now regre\xe2\x80\xa6'",41,None,273,1063
,,,,,
18-10-2018 16:29,b'RT @kavita_tewari: So Dad is a sexual molester  \nAnd daughter is a Women right activist \n#JatinDas #NanditaDas\nPathetic hypocrites these Co\xe2\x80\xa6',415,JatinDas,6164,263
,,,,,
