title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
,,,,,,
Roger Federer * 100 Brilliant Winners vs Nadal,fEFZsA3tRFU,856,105,3,17,0
,,,,,,
Roger Federer - Best Points  Laver Cup 2018,TlprG1DdYxk,2661,89,2,14,0
,,,,,,
Roger Federer - Top 10 EPIC Rallies of his Career (HD),okBBUVSCOAs,31141,293,11,64,0
,,,,,,
Rome 2015 SF HD - R.Federer vs S.Wawrinka Highlights,KmZ6UBwBf7A,199,6,0,1,0
,,,,,,
"PIQUE: ""A FEDERER las piernas le dan para lo que le dan""",tSs5RlTOvRQ,1807,25,28,20,0
,,,,,,
"Sorprendidos porque el Canelo Alvarez Ganara Mas que Messi, Cristiano, LeBron, Federer y Todos",uTUiPB5nku8,33237,274,27,387,0
,,,,,,
Rafael Nadal - Battle For World Number 1  (ft. Federer & Djokovic) | 2018,MbpwAH97NSI,603,26,0,6,0
,,,,,,
El dardo de Pique a Federer | Diario AS,T_5bLnNlYu8,10518,146,29,94,0
,,,,,,
Roger Federer vs Kei Nishikori Shanghai 2018 Highlights,bK2OEvN1ggk,28746,162,9,42,0
,,,,,,
AO Classics: Roger Federer v Marin Cilic (2018 F),hPWj01Q1Jx0,137441,1055,50,84,0
,,,,,,
Rafael Nadal - EVERY Passing Shot Winner vs Federer,pxyTkS9w-Zs,7628,206,7,88,0
,,,,,,
"Highlights: Borna Stuns Roger, Reaches Biggest Final Of Career",1erMgs_Tlxc,40286,269,15,94,0
,,,,,,
?Disputara o no Federer la 'nueva' Copa Davis?,gpsq2gF5uDk,111,2,1,0,0
,,,,,,
Federer Still Enjoys Rigors of Tour,waLOjwBs0dI,3176,6,0,0,0
,,,,,,
EPIC Match Point as Borna Coric stuns Roger Federer | Shanghai Semi-Final 2018,LiyBQyq3hWY,37670,300,23,226,0
,,,,,,
Highlights: Federer Survives Medvedev Scare In Shanghai 2018,FFXDITiG10I,110650,724,23,113,0
,,,,,,
Roger Federer * The Artist | HD,TCW2ZIQVUzI,31570,428,10,77,0
,,,,,,
Roger Federer - Best Points in Grand Slam 2018,D_euEQZqFoA,8181,81,4,6,0
,,,,,,
The Most Furious Tennis by Roger Federer,los_PL505uo,7164,55,2,24,0
,,,,,,
WHAT HAPPEN IF YOU PLAY AGAINST THE BEST FEDERER? MUST WATCH (HD),BRgEaseKrsI,401795,1809,128,208,0
,,,,,,
Roger Federer - Court Level Points 2017,#NAME?,6280,43,1,0,0
,,,,,,
"Highlights: Federer, Djokovic Advance To Shanghai SF On Friday 2018",#NAME?,69420,423,13,90,0
,,,,,,
"Roger Federer * Top10 ""SABR"" Trick Shots",AQEimJMcILY,328129,2069,52,71,0
,,,,,,
"Federer, Djokovic, Nishikori reach quarter-finals | Shanghai 2018 Highlights Day 5",ggSpf_TliCg,140323,996,22,153,0
,,,,,,
Roger Federer - 20 Shots if they were not Filmed NOBODY would Believe them,D-TtMvOTloQ,523876,2533,116,189,0
